,ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
0,12,-330,,,,,40,25.0,7.0,,
1,481,1764,2.0,11.0,,,51,-2.583,,,
2,71,859,,,,,36,36.25,,,3.0
3,186,1580,1.0,,,,40,128.0,,,1.0
4,5,-1300,,,,,39,26.24,6.0,,5.0
5,22,-47,9.0,,,,37,119.5,,,
6,174,1556,10.0,21.0,,,37,126.0,,,0.5
7,255,1641,12.0,21.0,,,38,-28.1,,,
8,427,1747,3.0,,,,33,139.8,,,0.5
9,219,1606,1.0,23.0,,,31,140.0,,,
10,480,1763,9.0,18.0,,,50,-2.466,,,
11,368,1704,,,,,33,136.0,,,1.0
12,470,1761,8.0,14.0,,,49,-2.585,,,
13,472,1762,5.0,26.0,,,60,5.332999999999999,,,
14,277,1653,,,,,38,-27.1,,,
15,302,1668,11.0,23.0,,,38,-28.1,,,
16,403,1732,,,,,33,139.767,,,
17,97,1099,11.0,11.0,,,50,-5.483,,,
18,81,975,10.0,26.0,,,41,28.98,,,3.0
19,130,1407,8.0,23.0,,,38,125.7,,,0.0
20,347,1693,2.0,13.0,,,64,-19.683,,,
21,457,1755,11.0,5.0,,,54,-1.21,,,
22,375,1706,5.0,5.0,,,28,-16.641,,,
23,331,1681,6.0,26.0,,,37,129.5,,,
24,269,1650,9.0,29.0,,,36,25.396,6.3,,6.0
25,62,792,4.0,30.0,,,45,11.0,,,3.0
26,319,1676,,,,,38,-27.066,,,1.0
27,370,1704,1.0,,,,34,138.6,,,
28,159,1519,9.0,24.0,,,36,126.0,,,0.0
29,135,1434,8.0,6.0,,,37,126.0,,,0.5
30,224,1609,1.0,19.0,,,51,0.466,,,
31,176,1562,7.0,25.0,,,32,130.6,,,
32,473,1762,9.0,27.0,,,51,0.1,,,
33,21,46,,,,,36,25.396,6.2,,3.0
34,495,1767,11.0,28.0,,,51,-0.08,,,
35,460,1756,2.0,27.0,,,51,-4.122,,,
36,249,1636,7.0,31.0,,,35,129.05,,,0.0
37,405,1732,11.0,,,,39,20.0,,,2.0
38,398,1726,,,,,10,-64.3,,,
39,46,551,4.0,,,,38,22.3,7.1,,4.0
40,32,315,,,,,31,35.5,,,3.0
41,428,1747,,,,,13,123.2,,,
42,420,1742,3.0,23.0,,,-36,-73.0,,,
